width,height,brightness,contrast,sharpness,entropy,valid,dataset,video_id,label_name,label
256,144,134.30516052246094,55.58230972290039,893.5774536132812,3.514212006425354,True,preprocessed_DFD01_16,01__exit_phone_room,real,0
256,144,88.86619567871094,49.65647506713867,1626.9251708984375,3.659853121887937,True,preprocessed_DFD01_16,01__hugging_happy,real,0
256,144,106.90367889404297,80.19940948486328,1792.0274658203125,3.7537424236168646,True,preprocessed_DFD01_16,01__kitchen_pan,real,0
256,144,102.63340759277344,80.21623229980469,1651.1324462890625,3.7553612590646086,True,preprocessed_DFD01_16,01__kitchen_still,real,0
256,144,117.04725646972656,66.6164779663086,1730.8641357421875,3.7717940548274713,True,preprocessed_DFD01_16,01__meeting_serious,real,0
256,144,96.4505386352539,64.3467788696289,12134.162109375,3.9942168955349726,True,preprocessed_DFD01_16,01__outside_talking_pan_laughing,real,0
256,144,96.00882720947266,64.11752319335938,12048.533203125,4.001137331190328,True,preprocessed_DFD01_16,01__outside_talking_still_laughing,real,0
256,144,121.82530212402344,50.3326530456543,530.0533447265625,3.562952925521299,True,preprocessed_DFD01_16,01__podium_speech_happy,real,0
256,144,108.12236022949219,73.12628936767578,2706.398681640625,3.9697946517211875,True,preprocessed_DFD01_16,01__secret_conversation,real,0
256,144,107.30989074707031,55.61321258544922,2309.35693359375,3.9441129123095706,True,preprocessed_DFD01_16,01__talking_against_wall,real,0
256,144,138.53260803222656,73.38314056396484,1320.48193359375,4.045858602596177,True,preprocessed_DFD01_16,01__talking_angry_couch,real,0
256,144,127.27506256103516,59.83728790283203,1178.83447265625,3.726755996890236,True,preprocessed_DFD01_16,01__walk_down_hall_angry,real,0
256,144,99.40567779541016,62.74394607543945,4288.486328125,3.9349996391047424,True,preprocessed_DFD01_16,01__walking_and_outside_surprised,real,0
256,144,133.13653564453125,74.64124298095703,948.6901245117188,3.6349807837251795,True,preprocessed_DFD01_16,01__walking_down_indoor_hall_disgust,real,0
256,144,78.3458251953125,53.54066467285156,3241.833984375,3.8786900223535286,True,preprocessed_DFD01_16,01__walking_down_street_outside_angry,real,0
256,144,105.96680450439453,69.46039581298828,3818.5791015625,3.9213864174142175,True,preprocessed_DFD01_16,01__walking_outside_cafe_disgusted,real,0
256,144,134.8574676513672,54.24541091918945,1157.840087890625,3.5107843298860635,True,preprocessed_DFD01_16,02__exit_phone_room,real,0
256,144,93.91355895996094,51.42901611328125,1598.015869140625,3.560514179412637,True,preprocessed_DFD01_16,02__hugging_happy,real,0
256,144,128.818115234375,64.58753967285156,2340.634033203125,3.9151929177477003,True,preprocessed_DFD01_16,02__kitchen_pan,real,0
256,144,121.98018646240234,64.46622467041016,2204.08642578125,3.885016128387419,True,preprocessed_DFD01_16,02__kitchen_still,real,0
256,144,112.49942779541016,68.69767761230469,1629.508056640625,3.709905094328998,True,preprocessed_DFD01_16,02__meeting_serious,real,0
256,144,83.77483367919922,58.51666259765625,9301.916015625,3.939079264525191,True,preprocessed_DFD01_16,02__outside_talking_pan_laughing,real,0
256,144,87.68087768554688,59.86023712158203,10259.66015625,3.9576517835569134,True,preprocessed_DFD01_16,02__outside_talking_still_laughing,real,0
256,144,143.24481201171875,32.972042083740234,526.1871948242188,3.4767633386764167,True,preprocessed_DFD01_16,02__podium_speech_happy,real,0
256,144,104.01681518554688,71.95906066894531,2762.512451171875,3.9510140842466126,True,preprocessed_DFD01_16,02__secret_conversation,real,0
256,144,129.07470703125,46.107723236083984,2567.228515625,3.776843690120427,True,preprocessed_DFD01_16,02__talking_against_wall,real,0
256,144,136.04794311523438,70.1159896850586,1394.358154296875,4.0679328387526414,True,preprocessed_DFD01_16,02__talking_angry_couch,real,0
256,144,138.7432861328125,53.09998321533203,1201.662841796875,3.726160120299401,True,preprocessed_DFD01_16,02__walk_down_hall_angry,real,0
256,144,99.40567779541016,62.74394607543945,4288.486328125,3.9349996391047424,True,preprocessed_DFD01_16,02__walking_and_outside_surprised,real,0
256,144,137.223388671875,73.29322052001953,961.98779296875,3.635166373619835,True,preprocessed_DFD01_16,02__walking_down_indoor_hall_disgust,real,0
256,144,81.92605590820312,55.93712615966797,2771.119873046875,3.8994065094633834,True,preprocessed_DFD01_16,02__walking_down_street_outside_angry,real,0
256,144,68.70028686523438,64.0189208984375,1756.6627197265625,3.744765002061066,True,preprocessed_DFD01_16,02__walking_outside_cafe_disgusted,real,0
256,144,123.90768432617188,56.00680923461914,1450.8890380859375,3.52147693962953,True,preprocessed_DFD01_16,03__exit_phone_room,real,0
256,144,100.97257232666016,40.71628189086914,1138.1988525390625,3.569804075243858,True,preprocessed_DFD01_16,03__hugging_happy,real,0
256,144,99.29579162597656,84.72447204589844,1652.3681640625,3.5632002151499362,True,preprocessed_DFD01_16,03__kitchen_pan,real,0
256,144,93.52285766601562,85.21082305908203,1526.93212890625,3.4500774241903582,True,preprocessed_DFD01_16,03__kitchen_still,real,0
256,144,118.04964447021484,65.77261352539062,1739.8988037109375,3.746679272966806,True,preprocessed_DFD01_16,03__meeting_serious,real,0
256,144,98.41017150878906,61.19526290893555,10706.662109375,4.025807084559466,True,preprocessed_DFD01_16,03__outside_talking_pan_laughing,real,0
256,144,95.33159637451172,59.9533805847168,10612.88671875,3.9986994546730905,True,preprocessed_DFD01_16,03__outside_talking_still_laughing,real,0
256,144,119.91427612304688,51.384849548339844,828.8221435546875,3.641861283324256,True,preprocessed_DFD01_16,03__podium_speech_happy,real,0
256,144,101.02169799804688,74.61231994628906,2520.811279296875,3.9133299473803236,True,preprocessed_DFD01_16,03__secret_conversation,real,0
256,144,105.19076538085938,55.66066360473633,2541.379638671875,3.9372084616619603,True,preprocessed_DFD01_16,03__talking_against_wall,real,0
256,144,101.276123046875,83.38471221923828,1417.2943115234375,3.9019836866531596,True,preprocessed_DFD01_16,03__talking_angry_couch,real,0
256,144,125.551025390625,62.254947662353516,956.1426391601562,3.7638933461075323,True,preprocessed_DFD01_16,03__walk_down_hall_angry,real,0
256,144,105.6989974975586,62.4125862121582,3278.568603515625,3.9765800609464135,True,preprocessed_DFD01_16,03__walking_and_outside_surprised,real,0
256,144,146.951171875,62.06696319580078,1431.1551513671875,3.831617339635863,True,preprocessed_DFD01_16,03__walking_down_indoor_hall_disgust,real,0
256,144,77.5994644165039,53.635520935058594,3490.195556640625,3.8841318860450134,True,preprocessed_DFD01_16,03__walking_down_street_outside_angry,real,0
256,144,63.73808288574219,61.28743362426758,1929.0030517578125,3.6070828037670166,True,preprocessed_DFD01_16,03__walking_outside_cafe_disgusted,real,0
256,144,134.9981231689453,47.104888916015625,927.1681518554688,3.477991391203422,True,preprocessed_DFD01_16,04__exit_phone_room,real,0
256,144,128.47149658203125,59.746395111083984,2140.906982421875,3.893794527884661,True,preprocessed_DFD01_16,04__kitchen_pan,real,0
256,144,127.65126037597656,58.14913558959961,2043.6416015625,3.8591860854428273,True,preprocessed_DFD01_16,04__kitchen_still,real,0
256,144,131.1841583251953,65.58723449707031,10093.5654296875,4.0956395491939706,True,preprocessed_DFD01_16,04__outside_talking_pan_laughing,real,0
256,144,127.62667083740234,63.33219528198242,10309.919921875,4.079114190718163,True,preprocessed_DFD01_16,04__outside_talking_still_laughing,real,0
256,144,130.01512145996094,44.04090118408203,852.0526733398438,3.5913061145133973,True,preprocessed_DFD01_16,04__podium_speech_happy,real,0
256,144,111.03599548339844,72.4291000366211,1822.4066162109375,3.9993321581208217,True,preprocessed_DFD01_16,04__secret_conversation,real,0
256,144,106.34068298339844,53.701045989990234,2829.743896484375,3.782310226703463,True,preprocessed_DFD01_16,04__talking_against_wall,real,0
