valid,n_diffs,mean_abs_diff,std_diff,max_diff,temporal_consistency,dataset,video_id,label_name,label
True,15,0.022749099880456924,0.06920319050550461,0.8549019694328308,-0.35815842861752406,preprocessed_DFD01_16,20_14__podium_speech_happy__B014BKVO,fake,1
True,15,0.12162527441978455,0.20755267143249512,0.9921568632125854,-0.30543948293337436,preprocessed_DFD01_16,01_20__outside_talking_pan_laughing__OTGHOG4Z,fake,1
True,15,0.018078472465276718,0.06633633375167847,0.9882352948188782,-0.21165430378414182,preprocessed_DFD01_16,26_20__exit_phone_room__XWMKFMF6,fake,1
True,15,0.023663368076086044,0.061089757829904556,0.8901960849761963,-0.34489127463723507,preprocessed_DFD01_16,22_24__kitchen_still__7E3GY85F,fake,1
True,15,0.14419914782047272,0.2451779544353485,1.0,-0.24474074309257648,preprocessed_DFD01_16,13_12__kitchen_pan__Q442U52P,fake,1
True,15,0.07338860630989075,0.09982949495315552,0.541176438331604,-0.43039556616522956,preprocessed_DFDC02_16,bmjjhpgnra,fake,1
True,15,0.024517852813005447,0.08492137491703033,0.9176470637321472,-0.3156257395310281,preprocessed_DFD01_16,22_10__walk_down_hall_angry__G48B2EQ2,fake,1
True,15,0.02211032435297966,0.07807742059230804,0.8470588326454163,-0.537362417741324,preprocessed_DFD01_16,06_12__podium_speech_happy__3K21NFNM,fake,1
True,15,0.024411462247371674,0.08329875022172928,1.0,-0.18949636192168176,preprocessed_DFD01_16,09_26__exit_phone_room__XXGYLT82,fake,1
True,15,0.13608737289905548,0.22901275753974915,1.0,-0.3298025576328751,preprocessed_DFD01_16,27_14__kitchen_pan__0KSONKQ2,fake,1
True,15,0.04119274765253067,0.0670602098107338,0.3686274588108063,-0.4203832189838878,preprocessed_DFDC02_16,cczdxtweqv,real,0
True,15,0.015379506163299084,0.036544233560562134,0.6627451181411743,-0.41213218823218284,preprocessed_DFD01_16,22_19__talking_against_wall__VK6BF5NV,fake,1
True,15,0.15406401455402374,0.22924812138080597,0.9686274528503418,-0.44390675808773816,preprocessed_DFD01_16,13_09__walking_down_indoor_hall_disgust__3GQ49P2J,fake,1
True,15,0.0191310066729784,0.06504566222429276,0.9215686321258545,-0.29448654551672154,preprocessed_DFD01_16,26_12__walking_down_street_outside_angry__OVOQACG8,fake,1
